mode_0,mode_1,mode_2,mode_3,mode_4
-4.560919358159721e-08,4.5848890495878234e-08,0.013205357280668158,0.0037016935067723184,-5.363729576246187e-08
-2.4713326262151836e-08,6.809068483527858e-09,0.01916960230968745,0.00598867901457943,-3.196194478657585e-08
1.0253520856158549e-08,-4.869872114159762e-08,0.019748228590674908,0.00660472227341582,-2.560146713116024e-09
3.367668178089894e-08,-9.523707923458566e-08,0.018619482428664052,0.00657998647906151,1.4838461660348495e-08
4.6993394283573187e-08,-1.357184304211223e-07,0.017107684338779232,0.006443414890798612,2.6287366810661544e-08
5.4126316751529346e-08,-1.7419290345831867e-07,0.015520066573628661,0.0063500466121891655,3.755983250504705e-08
5.708146101970901e-08,-2.1239797010986008e-07,0.013930687173977696,0.0063331784034584265,5.1472180423277336e-08
5.6662671445509294e-08,-2.508768197255831e-07,0.012368379723857341,0.00639339096975362,6.923311643251828e-08
5.319934663107484e-08,-2.8976069044433367e-07,0.010851001084498652,0.00652327619306281,9.135515084517098e-08
4.6872736358082034e-08,-3.2907330470201973e-07,0.009391065173720037,0.006713899108839844,1.1805566049565008e-07
