step,entropy_main,entropy_secondary
0,4.019545789025781,3.758642697411967
1,3.5392101698572525,3.278649383860055
2,3.2052464760928965,2.9643619707049367
3,3.0417363171564853,2.816337974959133
4,2.9579550393191787,2.7428858894510912
5,2.9034760265809973,2.6958772858166324
6,2.8592988365166874,2.6575036756543198
7,2.8190614356021397,2.621885218286798
8,2.780649471995374,2.587137695528396
9,2.7432873507091857,2.5526441244387437
