mode_0,mode_1,mode_2,mode_3,mode_4
-0.00486669501251081,0.0015390941751705404,0.014568882135037278,0.0060915714806057146,0.004117445105527583
-0.0043352531766572815,-0.0021988791245328536,0.01957988647716521,0.00517960235973145,0.002636781832703508
-0.0038831095854488023,-0.0040574341465846615,0.01964910982810889,0.004068280799881653,0.001786026939791637
-0.003665550473472126,-0.0049598327503583076,0.018364351207025995,0.00303807476026465,0.0013989982132832023
-0.0035698600430968137,-0.005481875168022136,0.016864574860282405,0.0021655958059016833,0.001261834033305946
-0.0035249172159901605,-0.005832816869288512,0.01538030595484708,0.0014463580430285185,0.001267976659486721
-0.0035012014703525744,-0.0060875166700986565,0.013954636508647516,0.0008596312875569774,0.0013652795130428925
-0.003486898948463819,-0.0062783917004949315,0.012600155876565692,0.0003847924275819205,0.0015239612877614678
-0.0034768725039218255,-0.0064231869730314375,0.01132400712961214,4.265566662712238e-06,0.0017247051636410933
-0.00346865446364449,-0.006533333790907442,0.010130770822073889,-0.0002965439471177781,0.0019541353256774304
