t,s_q,s_a,p_q,p_a,U
0.0,150.0,-0.8,0.0,0.0,250.32399999999998
0.016722408026755852,149.99860259868728,-0.7999496935527403,-0.16708276695330346,0.006014979610318921,250.31000807207798
0.033444816053511704,149.99441356330445,-0.7997988882789587,-0.333877042393479,0.012019573526165232,250.268066357697
0.05016722408026755,149.98743779985634,-0.7995477607948257,-0.5003739734118131,0.018013463042825247,250.1982309937888
0.06688963210702341,149.9776803542398,-0.7991964927526303,-0.6665647529182728,0.023996331105057396,250.10056416100997
0.08361204013377926,149.9651464194508,-0.7987452711002272,-0.8324406055783559,0.029967861800819364,249.9751341267463
0.1003344481605351,149.9498413351548,-0.7981942880655704,-0.9979927881691053,0.03592774037408555,249.82201521047693
0.11705685618729096,149.93177058686422,-0.7975437411271104,-1.1632125902153563,0.04187565324775007,249.6412877440504
0.13377926421404682,149.91093980526918,-0.7967938329896883,-1.3280913345245398,0.04781128804287928,249.43303803234735
0.15050167224080266,149.88735476593072,-0.7959447715735037,-1.4926203774917144,0.05373433358969632,249.19735831643735
0.16722408026755853,149.8610213886635,-0.7949967699918842,-1.65679110949607,0.05964447994185305,248.9343467325039
0.18394648829431437,149.83194573710213,-0.7939500465356751,-1.8205949550909801,0.06554141838326971,248.64410727149567
0.2006688963210702,149.80013401793568,-0.7928048246456835,-1.9840233738240243,0.07142484145765918,248.3267497343627
0.21739130434782608,149.765592580384,-0.7915613328938225,-2.1470678605188382,0.0772944429786725,247.98238968862927
0.23411371237458192,149.72832791553628,-0.7902198049593051,-2.30971994555697,0.08314991804004523,247.61114842251737
0.2508361204013378,149.6883466558737,-0.7887804796114514,-2.471971195453234,0.08899096303631072,247.21315289985128
0.26755852842809363,149.64565557464985,-0.787243600687394,-2.633813213237168,0.09481727567653236,246.788535712496
0.2842809364548495,149.600261585101,-0.7856094170636351,-2.7952376387876794,0.10062855499635079,246.33743503007537
0.3010033444816053,149.55217174000614,-0.7838781826402202,-2.9562361493080522,0.10642450137508422,245.8599945521564
0.3177257525083612,149.50139323107373,-0.7820501563186538,-3.1168004597341925,0.11220481655042527,245.35636345770283
0.33444816053511706,149.4479333881626,-0.7801256019738538,-3.2769223230776117,0.11796920363078837,244.82669635189683
0.3511705685618729,149.39179967869333,-0.7781047884329597,-3.4365935308434694,0.12371736711035927,244.27115321388192
0.36789297658862874,149.33299970712943,-0.7759879894566587,-3.5958059134761036,0.1294490128851341,243.6898993442327
0.3846153846153846,149.27154121331822,-0.7737754836794554,-3.7545513403146638,0.13516384825132227,243.08310530022177
0.4013377926421404,149.20743207269695,-0.77146755461709,-3.9128217203583127,0.14086158193289366,242.45094684861454
0.4180602006688963,149.14068029631744,-0.769064490667428,-4.070609002952747,0.14654192410629324,241.79360491570216
0.43478260869565216,149.07129402962138,-0.7665665850663697,-4.227905177933005,0.15220458640558251,241.1112655241029
0.451505016722408,148.99928155179322,-0.7639741358645559,-4.384702276018064,0.1578492819366446,240.40411973439024
0.46822742474916385,148.92465127510596,-0.7612874459038153,-4.540992369202561,0.1634757252912864,239.6723635857826
0.4849498327759197,148.84741174425977,-0.7585068227933519,-4.696767571145668,0.16908363256123815,238.91619803590584
0.5016722408026756,148.7675716357132,-0.755632578885676,-4.852020037557118,0.17467272135205025,238.13582889964647
0.5183946488294314,148.68513975700762,-0.7526650312522747,-5.006741966580367,0.18024271079688714,237.33146678711384
0.5351170568561873,148.600125046084,-0.749604501659025,-5.160925599172911,0.1857933215702186,236.50332704072272
0.5518394648829431,148.512536570593,-0.746451316541349,-5.31456321948374,0.19132427590140838,235.65162967141725
0.568561872909699,148.42238352719744,-0.7432058069791083,-5.467647155227947,0.1968352975881998,234.77659929404876
0.5852842809364548,148.3296752396311,-0.7398683086267197,-5.620169777454071,0.20232611198834022,233.8784650499574
0.6020066889632106,148.23442115388372,-0.7364391615398147,-5.77212349890771,0.2077964459606712,232.95746050119538
0.6187290969899665,148.1366308460373,-0.7329187104573435,-5.9235007785784495,0.2132460280288177,232.01382364647222
0.6354515050167224,148.03631401847056,-0.729307304664941,-6.074294120563057,0.21867458834026338,231.04779682350792
0.6521739130434783,147.9334804984932,-0.725605297945756,-6.2244960741166615,0.2240818586681929,230.05962663437265
0.6688963210702341,147.8281402375654,-0.7218130485523547,-6.374099233990663,0.22946757242365662,229.04956387583886
0.68561872909699,147.72030331050874,-0.7179309191783143,-6.523096240767085,0.23483146466760746,228.017863469002
0.7023411371237458,147.6099799147085,-0.7139592769295061,-6.671479781189394,0.24017327212281012,226.96478438819202
0.7190635451505016,147.4971803693075,-0.7098984932950699,-6.81924258848974,0.24549273318562215,225.89058958919023
0.7357859531772575,147.38191511439106,-0.7057489441180779,-6.966377442712675,0.2507895879376474,224.79554593677204
0.7525083612040133,147.2641947101636,-0.7015110095658886,-7.112877171035301,0.25606357815726155,223.679924131593
0.7692307692307692,147.14402983611646,-0.6971850741001917,-7.258734648083874,0.26131444733100995,222.54399863643872
0.785953177257525,147.02143129020516,-0.6927715264473849,-7.403942796248485,0.26654194066493586,221.38804760202362
0.8026755852842808,146.89640999196814,-0.6882707597108524,-7.5484945863546695,0.2717458051087585,220.21235282928643
0.8193979933110368,146.76897697837137,-0.6836831712213692,-7.692383037668449,0.2769257893560545,219.01719966244852
0.8361204013377926,146.6391434002348,-0.6790091624084519,-7.835601217951694,0.28208164384625123,217.80287688751156
0.8528428093645485,146.50692052379404,-0.674249138856585,-7.9781422439833625,0.28721312078339123,216.5696766785457
