step,gamma,entropy
61,4.600411906247661,2.9355775709076135
62,4.602281088891705,2.9335865618838444
63,4.6037027848203325,2.9362403876181467
64,4.59382601178324,2.9274213889170286
65,4.57309789266087,2.918949490824909
66,4.556583876158231,2.9090606197296394
67,4.570251170379734,2.9169959985489538
68,4.563178495171598,2.9088197345589535
69,4.544643663169241,2.903372462251985
70,4.538355585086546,2.9084922316911004
71,4.544140634946333,2.9120116248106975
72,4.565817316489487,2.9181738490192703
73,4.567696998200883,2.911687368521196
74,4.56310823579411,2.907250823213444
75,4.555095902522732,2.9024541155793506
76,4.551952513257667,2.9043319077962866
77,4.5296322471087755,2.8974562058231057
78,4.514729281426165,2.8953676658597747
79,4.496078498809137,2.8885925009493576
80,4.492794135691187,2.8921305445210774
81,4.47190436738622,2.887827377782408
82,4.484004648404731,2.8873925243645706
83,4.479936211776823,2.882303385282137
84,4.4835140360281285,2.888958793555068
85,4.480694291656509,2.8811359252025057
86,4.479746484525692,2.8895949830421435
87,4.488566516773533,2.885916226993316
88,4.506009453389802,2.8946700252782334
89,4.4942448076447965,2.893164024379861
90,4.512806120490224,2.894886712773961
91,4.517153217805025,2.8973966899588772
92,4.512427340442812,2.89671911932665
93,4.525221869303667,2.896600809178118
94,4.532840313169653,2.9025424950111494
95,4.542011486036916,2.915325925509921
96,4.534286649094617,2.9050101803963955
97,4.500427308627656,2.8941465010548177
98,4.481355738423782,2.8836266159784425
99,4.470038434833953,2.8806192236647035
100,4.482954910039199,2.8822992458221486
101,4.4790159821195665,2.881199572414508
102,4.487175652942377,2.890224983715819
103,4.490421939940547,2.888582112958569
104,4.482956479371872,2.8797590574054452
105,4.475748367166102,2.872771941510143
106,4.480787878610937,2.876714812786662
107,4.473497525431308,2.8675462895382897
108,4.471858867440597,2.862169846247328
109,4.474391296158683,2.861152435971751
110,4.453525979998582,2.8585267968438632
111,4.457466635040416,2.8683703303289794
112,4.444568766467239,2.8614492313364064
113,4.436183753287271,2.8653906226769696
114,4.428934450709103,2.866373621171842
115,4.399076809952774,2.870929464321582
116,4.406110197496031,2.8731075450207584
117,4.393042830720146,2.864235439305807
118,4.4095457339649755,2.869125941199576
119,4.402211154980084,2.858485450786714
120,4.3764219533979105,2.8504291914517697
121,4.382176970302855,2.843993570626004
122,4.362191457112731,2.844795983435188
123,4.350064173042614,2.8422001435625495
124,4.357698675804703,2.8435450341408757
125,4.349585160913005,2.844986289746255
126,4.347000016374327,2.8446625399070533
127,4.3135697888167925,2.829070212462626
128,4.312817555815108,2.8291836570608893
129,4.315925973530937,2.8407023670630633
130,4.306446189990953,2.847408437737286
131,4.260718893229788,2.8316440868831423
132,4.283278671584467,2.8403541793467473
133,4.284219165801352,2.8486152116606833
134,4.287008579068444,2.852407393309466
135,4.274646292825244,2.850452697450484
136,4.2769902573935905,2.8433991399867997
137,4.290250726896432,2.840110896960614
138,4.28064149502348,2.835556678907174
139,4.285470806427725,2.839737956691079
140,4.301610957015736,2.846880147906594
141,4.3145604799867385,2.8379303985683255
142,4.320868605807153,2.8378817123172744
143,4.340945838692815,2.8406267763689974
144,4.328188248983246,2.8371382142414476
145,4.3108209461999865,2.832501070026251
146,4.30576398858419,2.8416595154201536
147,4.292857315008086,2.832164336935204
148,4.270852541718041,2.8413159044316934
149,4.2588335967679285,2.8363018718938178
150,4.268754436474376,2.836020749599774
151,4.276747957876298,2.822932403669889
152,4.282558701165737,2.819605662056569
153,4.255650583528363,2.819131797794268
154,4.270189253397871,2.832748374729819
155,4.287088919176499,2.835910773468873
156,4.278764375601614,2.8385506164525625
157,4.295323357489123,2.8387855462752767
158,4.287252885645117,2.838213288082514
159,4.263069007544184,2.832639549268161
160,4.281341768936601,2.8390571729335417
161,4.301226895105612,2.852165173765053
162,4.322731156166297,2.8508879398258777
163,4.3455886436229365,2.86569046557111
164,4.347404303412461,2.867015586168315
165,4.351692501063828,2.8593230128744533
166,4.334537701377949,2.8601111239148294
167,4.322994082970304,2.8726853106167782
168,4.31775401963111,2.880310775440432
169,4.320583303439573,2.8675928309007173
170,4.343026465486979,2.868261276041368
171,4.32302415769334,2.865281833092761
172,4.310696243896168,2.859417912204151
173,4.2988725220600355,2.8559369247620077
174,4.2976604531885885,2.8503214276123683
175,4.291736478753508,2.8468367475788443
176,4.285951648412385,2.8345075419998413
177,4.278401642808434,2.8321867156181373
178,4.285375452336362,2.8389387641253974
179,4.277737372046341,2.8318398326237504
180,4.26571556452208,2.8290343403489833
181,4.273091965379846,2.8275623794357845
182,4.295924265633678,2.834177732150587
183,4.264775304289998,2.8239317473743504
184,4.256132094793373,2.8306309164440018
185,4.250175509813556,2.8387669421194928
186,4.261294088786838,2.854043668450518
187,4.271169985696441,2.8524468387831385
188,4.2723242494085225,2.861776927057711
189,4.2496642353509895,2.8619380290314544
190,4.232538864779691,2.8593654124587236
191,4.229944242942313,2.8594460742072703
192,4.2342350487868865,2.8547830350792185
193,4.219940670141245,2.8582983781406504
194,4.195246486846363,2.856828884529287
195,4.214477817202733,2.849969543864054
196,4.205128240711839,2.849889206188649
197,4.2269391431026015,2.8472731499741157
198,4.207983380684922,2.847197664720603
199,4.196760946337845,2.839459442029458
200,4.225814086582499,2.8498418532038445
