step,gamma,entropy
1,0.32342404286082,3.090920285204858
2,0.3233227260052842,3.0896888518880696
3,0.3232207894071726,3.0884504784611133
4,0.32311822940073737,3.0872051311157875
5,0.32301504228778466,3.08595277599038
6,0.32291122433737096,3.0846933791715627
7,0.32280677178549744,3.0834269066962863
8,0.32270168083480477,3.082153324553717
9,0.32259594765426625,3.080872598687182
10,0.3224895683788801,3.0795846949961367
11,0.3223825391093627,3.078289579338162
12,0.32227485591183974,3.0769872175309736
13,0.3221665148175369,3.075677575354454
14,0.3220575118224708,3.0743606185527046
15,0.32194784288713874,3.0730363128361167
16,0.32183750393620864,3.071704623883465
17,0.3217264908582077,3.070365517344016
18,0.3216147995052116,3.069018958839656
19,0.32150242569253284,3.0676649139670387
20,0.32138936519840866,3.066303348299749
21,0.32127561376368974,3.0649342273904883
22,0.32116116709152687,3.0635575167732663
23,0.32104602084705935,3.062173181965624
24,0.32093017065710233,3.0607811884708633
25,0.32081361210983417,3.0593815017802934
26,0.32069634075448333,3.057974087375493
27,0.3205783521010164,3.0565589107305895
28,0.3204596416198253,3.0551359373145552
29,0.3203402047414157,3.0537051325935027
30,0.32022003685609296,3.0522664620330158
31,0.32009913331365153,3.050819891100474
32,0.31997748942306325,3.049365385267403
33,0.3198551004521654,3.0479029100118313
34,0.31973196162734946,3.0464324308206483
35,0.3196080681332509,3.0449539131919985
36,0.3194834151124388,3.0434673226376603
37,0.31935799766510664,3.041972624685451
38,0.31923181084876234,3.0404697848816316
39,0.31910484967792063,3.0389587687933246
40,0.3189771091237948,3.0374395420109406
41,0.3188485841139903,3.03591207015061
42,0.31871926953219776,3.0343763188566233
43,0.3185891602178884,3.0328322538038757
44,0.31845825096600894,3.0312798407003174
45,0.3183265365266789,3.029719045289415
46,0.3181940116048879,3.028149833352608
47,0.31806067086019413,3.026572170711774
48,0.31792650890642477,3.024986023231699
49,0.31779152031137664,3.0233913568225463
50,0.3176556995965193,3.021788137442329
51,0.3175190412366977,3.020176331099382
52,0.3173815396598392,3.018555903854838
53,0.3172431892466585,3.0169268218251033
54,0.31710398433036713,3.015289051184326
55,0.31696391919638267,3.013642558166868
56,0.31682298808204146,3.0119873090697813
57,0.3166811851763105,3.0103232702552627
58,0.31653850461950406,3.0086504081531285
59,0.3163949405030003,3.006968689263264
60,0.31625048686896057,3.0052780801580807
61,0.31610513771005105,3.0035785474849663
62,0.31595888696916563,3.0018700579687185
63,0.31581172853915207,3.000152578413989
64,0.31566365626253984,2.9984260757077
65,0.31551466393127037,2.9966905168214666
66,0.3153647452864303,2.9949458688140065
67,0.3152138940179868,2.993192098833533
68,0.31506210376452537,2.9914291741201477
69,0.31490936811299125,2.9896570620082126
70,0.3147556805984321,2.987875729928711
71,0.3146010347037461,2.9860851454116055
72,0.3144454238594295,2.9842852760881677
73,0.31428884144333086,2.982476089693302
74,0.31413128078040664,2.9806575540678555
75,0.3139727351424792,2.978829637160903
76,0.3138131977480005,2.976992307032026
77,0.31365266176181744,2.9751455318535696
78,0.3134911202949413,2.973289279912874
79,0.3133285664043212,2.9714235196145036
80,0.3131649930926207,2.9695482194824416
81,0.31300039330799867,2.967663348162269
82,0.31283475994389415,2.9657688744233273
83,0.31266808583881495,2.9638647671608496
84,0.31250036377613105,2.9619509953980825
85,0.31233158648387094,2.9600275282883675
86,0.31216174663452484,2.9580943351172184
87,0.31199083684484963,2.9561513853043593
88,0.3118188496756799,2.9541986484057388
89,0.311645777631744,2.9522360941155275
90,0.3114716131614845,2.9502636922680825
91,0.3112963486568824,2.9482814128398793
92,0.31111997645328926,2.946289225951427
93,0.3109424888292621,2.944287101869152
94,0.31076387800640476,2.9422750110072418
95,0.3105841361492136,2.9402529239294735
96,0.31040325536493096,2.9382208113510053
97,0.31022122770340216,2.936178644140136
98,0.31003804515693956,2.9341263933200334
99,0.30985369966019216,2.9320640300704364
100,0.30966818309002153,2.929991525729311
101,0.30948148726538366,2.92790885179449
102,0.3092936039472182,2.9258159799252645
103,0.30910452483834255,2.923712881943946
104,0.30891424158335473,2.921599529837404
105,0.30872274576854086,2.9194758957585427
106,0.30853002892179143,2.9173419520277717
107,0.3083360825125242,2.9151976711344187
108,0.3081408979516136,2.913043025738115
109,0.30794446659132857,2.9108779886701432
110,0.3077467797252772,2.9087025329347402
111,0.3075478285883607,2.906516631710377
112,0.30734760435673214,2.904320258350981
113,0.307146098147767,2.902113386387134
114,0.30694330102003964,2.8998959895272276
115,0.306739203973308,2.897668041658574
116,0.3065337979485091,2.895429516848483
117,0.3063270738277603,2.893180389345295
118,0.306119022434372,2.8909206335793796
119,0.305909634532868,2.8886502241640812
120,0.30569890082901574,2.8863691358966386
121,0.30548681196986593,2.884077343759059
122,0.305273358543801,2.881774822918934
123,0.3050585310805956,2.8794615487302506
124,0.30484232005148404,2.8771374967341203
125,0.30462471586924006,2.8748026426594935
126,0.3044057088882675,2.8724569624238234
127,0.30418528940469897,2.8701004321336887
128,0.3039634476565077,2.8677330280853726
129,0.3037401738236295,2.865354726765404
130,0.3035154580280962,2.8629655048510516
131,0.30328929033417956,2.860565339210784
132,0.30306166074854857,2.8581542069046812
133,0.30283255922043634,2.8557320851848034
134,0.3026019756418213,2.8532989514955283
135,0.3023698998476188,2.8508547834738387
136,0.3021363216158864,2.8483995589495654
137,0.3019012306680408,2.8459332559456025
138,0.30166461666908917,2.843455852678069
139,0.30142646922787175,2.840967327556439
140,0.3011867778973194,2.838467659183622
141,0.30094553217472364,2.835956826356016
142,0.30070272150202143,2.833434808063511
143,0.30045833526609345,2.830901583489456
144,0.3002123627990762,2.828357132010592
145,0.2999647933786902,2.825801433196938
146,0.299715616228581,2.8232344668116487
147,0.29946482051867696,2.820656212810829
148,0.299212395365561,2.8180666513433117
149,0.2989583298328585,2.8154657627504016
150,0.29870261293164146,2.8128535275655873
151,0.29844523362084696,2.8102299265142077
152,0.2981861808077132,2.8075949405130904
153,0.2979254433482329,2.804948550670164
154,0.29766301004762163,2.802290738284026
155,0.2973988696608038,2.7996214848434793
156,0.2971330108929165,2.796940772027046
157,0.2968654223998307,2.794248581702443
158,0.2965960927886902,2.7915448959260356
159,0.2963250106184678,2.7888296969422512
160,0.2960521644005421,2.7861029671829733
161,0.2957775425992908,2.783364689266912
162,0.29550113363270347,2.7806148459989375
163,0.29522292587301424,2.7778534203693974
164,0.29494290764735354,2.7750803955534096
165,0.29466106723841906,2.7722957549101284
166,0.2943773928851678,2.7694994819819896
167,0.2940918727835277,2.766691560493945
168,0.29380449508713014,2.763871974352659
169,0.2935152479080631,2.761040707645706
170,0.29322411931764597,2.7581977446407393
171,0.29293109734722517,2.755343069784649
172,0.29263616998899267,2.7524766677027053
173,0.2923393251968248,2.7495985231976876
174,0.2920405508871452,2.746708621249005
175,0.2917398349398088,2.743806947011799
176,0.2914371651990106,2.740893485816054
177,0.2911325294742154,2.7379682231656797
178,0.29082591554111314,2.735031144737606
179,0.29051731114259643,2.7320822363808603
180,0.290206703989763,2.72912148411565
181,0.28989408176294285,2.7261488741324444
182,0.2895794321127486,2.723164392791053
183,0.28926274266115304,2.7201680266197066
184,0.2889440010025893,2.7171597623141466
185,0.2886231947050788,2.7141395867367133
186,0.2883003113113845,2.7111074869154512
187,0.2879753383401887,2.708063450043211
188,0.28764826328730014,2.705007463476775
189,0.2873190736268845,2.701939514735986
190,0.28698775681272526,2.698859591502898
191,0.28665430027950833,2.6957676816209304
192,0.2863186914441381,2.692663773094063
193,0.28598091770707756,2.689547854086031
194,0.285640966453719,2.686419912919545
195,0.28529882505578336,2.6832799380755508
196,0.28495448087274494,2.680127918192491
197,0.2846079212532898,2.6769638420656188
198,0.2842591335368001,2.673787698646324
199,0.2839081050548683,2.6705994770414994
200,0.28355482313284264,2.6673991665129426
